                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8817,                 1.9278,                 2.0306,                0.58622,                0.40356,                0.45468,                0.21934,                 1.7851,                 1.8757,                 1.9852,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.865,                  1.894,                 1.9852,                0.53133,                0.43636,                0.44744,                0.18922,                 1.8888,                 1.9984,                 2.0364,               0.001307,               0.001307,               0.001307
                     37,                 1.8664,                 1.9284,                 1.9785,                0.48376,                0.45152,                0.43902,                0.21688,                 1.8202,                 1.9191,                  1.983,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7916,                 1.7999,                 1.9318,                0.48163,                0.37879,                0.38795,                0.18276,                 1.9179,                 2.0042,                 2.0344,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8558,                  1.874,                 1.9975,                0.58119,                0.42473,                0.47434,                0.23309,                 1.7686,                 1.8255,                 1.9622,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8675,                  1.915,                 1.9688,                0.58742,                    0.4,                0.45851,                0.22465,                 1.7921,                  1.938,                 1.9619,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8262,                 1.8475,                 1.9746,                0.56789,                 0.4303,                 0.4569,                0.21856,                 1.8263,                 1.9179,                 1.9797,               0.001208,               0.001208,               0.001208
                     42,                 1.8602,                 1.8611,                 1.9493,                0.59284,                0.48485,                0.52117,                0.24694,                 1.7886,                 1.7814,                 1.9644,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7592,                 1.7492,                 1.9024,                0.54238,                0.47273,                0.49551,                 0.2485,                 1.7377,                 1.9107,                 1.9351,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8446,                 1.7905,                 1.9375,                0.49532,                0.49091,                0.47851,                0.22702,                 1.8709,                 1.7521,                 1.9796,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7707,                 1.7455,                 1.9209,                0.70735,                0.44545,                 0.5421,                0.26531,                 1.7403,                 1.7259,                 1.8792,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7361,                 1.8399,                 1.8821,                0.62376,                0.46364,                 0.5137,                0.26018,                 1.7668,                 1.7526,                 1.9467,               0.001109,               0.001109,               0.001109
                     47,                 1.7642,                 1.7792,                 1.9014,                0.56179,                0.45152,                0.48654,                0.23327,                 1.7583,                 1.7802,                 1.9036,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7376,                 1.7011,                 1.8382,                0.54583,                0.49394,                0.51297,                0.25398,                  1.751,                 1.7439,                  1.899,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7411,                 1.7095,                 1.8662,                0.66715,                0.45758,                0.52763,                0.27168,                 1.7273,                 1.6869,                 1.8789,              0.0010496,              0.0010496,              0.0010496
