                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8892,                 1.9712,                 1.8642,                0.47695,                0.33712,                0.34974,                0.15859,                 1.9241,                 2.1541,                 1.9247,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.8892,                 1.9937,                 1.8564,                0.39609,                0.31818,                0.29223,                0.13742,                 1.9083,                  2.458,                 1.9769,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.8673,                 1.9636,                 1.8529,                0.45307,                0.45758,                0.42689,                0.18438,                  1.859,                 2.0186,                 1.8499,               0.001538,               0.001538,               0.001538
                     37,                 1.9174,                 1.9797,                 1.8794,                0.52835,                0.37273,                 0.4089,                0.20077,                 1.8414,                 1.9741,                  1.844,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.8242,                 1.9069,                 1.8292,                0.56689,                0.41818,                0.45575,                0.22342,                 1.8109,                 1.9123,                 1.8291,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.8278,                 1.9036,                 1.8525,                0.45534,                0.34545,                0.35202,                0.17646,                 1.8273,                 2.0583,                 1.8631,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.8665,                      2,                 1.8322,                0.57408,                0.41515,                0.46261,                 0.2308,                 1.7727,                 1.9141,                 1.8115,              0.0014852,              0.0014852,              0.0014852
                     41,                  1.821,                 1.9063,                 1.8232,                0.49399,                0.41818,                 0.4239,                0.20907,                 1.7978,                 1.8898,                 1.7897,               0.001472,               0.001472,               0.001472
                     42,                 1.8753,                 1.9282,                 1.8146,                0.53734,                0.40303,                0.40869,                0.19383,                 1.8513,                 1.9873,                 1.8472,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.7719,                 1.8398,                 1.7885,                0.61889,                0.39394,                0.45666,                0.22027,                 1.8104,                 1.9148,                 1.8256,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.8264,                 1.8867,                 1.8093,                0.55409,                0.46364,                0.46538,                0.22842,                 1.7515,                 1.7922,                 1.7828,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.7781,                 1.8054,                  1.773,                0.54574,                0.45152,                0.47091,                0.23277,                 1.7844,                 1.8748,                 1.7737,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.7675,                 1.8725,                 1.7559,                0.58816,                0.40247,                  0.467,                0.22952,                 1.7878,                 1.8399,                 1.8074,               0.001406,               0.001406,               0.001406
                     47,                 1.8193,                 1.8903,                 1.8366,                0.56161,                0.42727,                0.48968,                0.24932,                 1.6934,                 1.7746,                 1.7116,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.7932,                 1.7701,                 1.7504,                0.56734,                0.48478,                 0.5253,                0.25837,                 1.6954,                 1.8152,                 1.7211,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.7624,                 1.7767,                 1.7457,                0.61318,                0.44545,                0.47718,                0.24562,                  1.739,                 1.8071,                 1.7437,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.7323,                 1.7338,                 1.7206,                0.63495,                0.40909,                0.49776,                0.25352,                 1.6701,                  1.813,                 1.6899,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.7387,                 1.7604,                 1.7424,                0.63272,                 0.4303,                0.50326,                0.26119,                 1.7341,                 1.7087,                 1.7429,                0.00134,                0.00134,                0.00134
                     52,                 1.7596,                 1.7371,                 1.7333,                0.59202,                0.48371,                0.52049,                 0.2614,                 1.7232,                 1.7421,                 1.7459,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.7724,                  1.755,                 1.7951,                0.62159,                 0.4303,                0.49428,                0.25997,                 1.6952,                 1.7406,                 1.7364,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.7087,                 1.7022,                 1.6868,                0.69507,                0.44545,                0.53159,                0.27042,                   1.69,                  1.724,                 1.7252,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.6968,                 1.7218,                 1.7282,                0.64528,                0.44848,                0.52755,                0.27371,                 1.6651,                 1.6844,                 1.7035,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.6933,                 1.7274,                 1.6962,                0.66384,                0.46061,                0.53054,                0.27915,                 1.6505,                 1.6926,                 1.6805,               0.001274,               0.001274,               0.001274
                     57,                 1.6756,                 1.6605,                  1.694,                0.65639,                0.49091,                0.54774,                0.26487,                  1.711,                  1.731,                 1.7194,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.7078,                 1.6902,                 1.7006,                0.68033,                0.43333,                0.50919,                0.25047,                 1.7281,                 1.8159,                 1.7337,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.7145,                 1.6605,                 1.6953,                 0.6173,                0.49857,                0.54419,                0.27283,                 1.7042,                  1.706,                 1.7167,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.7338,                 1.7642,                 1.7461,                0.63457,                 0.4303,                0.52103,                0.27498,                 1.7079,                 1.7032,                 1.7056,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.6976,                 1.5984,                 1.6877,                0.65942,                0.45152,                0.54514,                0.27222,                 1.7103,                 1.6247,                 1.6931,               0.001208,               0.001208,               0.001208
                     62,                 1.6907,                  1.622,                 1.6582,                0.61691,                0.45758,                0.53159,                0.27243,                 1.6983,                 1.6529,                 1.7058,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.6586,                 1.6325,                 1.6594,                0.67061,                0.49356,                0.56353,                 0.2925,                 1.6813,                 1.6075,                 1.6931,              0.0011816,              0.0011816,              0.0011816
